ROC,PR,,,,,,,
0.98385538,0.661417819,,,,,,,
0.977656125,0.209030619,,,,,,,
0.965249561,0.673784665,,,,,,,
0.907153991,0.112874797,,,,,,,
0.873696593,0.095572019,,,,,,,
0.96198292,0.396316393,,,,,,,
0.989484992,0.591214354,,,,,,,
0.988247211,0.623038156,,,,,,,
0.918013193,0.213624315,,,,,,,
0.931187768,0.231922039,,,,,,,
0.925133165,0.297727436,,,,,,,
0.888546439,0.045214811,,,,,,,
0.922712371,0.276553227,,,,,,,
0.940189414,0.06967561,,,,,,,
0.845635902,0.118065287,,,,,,,
0.876519407,0.103278731,,,,,,,
0.874529795,0.135501732,,,,,,,
0.898673935,0.250818894,,,,,,,
0.867046109,0.154608015,,,,,,,
0.964225875,0.604806582,,,,,,,
0.965516987,0.611118125,,,,,,,
0.873786268,0.077279559,,,,,,,
0.915360548,0.216250076,,,,,,,
0.920442977,0.297370692,,,,,,,
0.872239648,0.183598423,,,,,,,
0.94391977,0.222987955,,,,,,,
0.962207219,0.271723018,,,,,,,
0.941384546,0.215439384,,,,,,,
0.940116685,0.289369759,,,,,,,
0.914553293,0.145995017,,,,,,,
0.995825292,0.753610115,,,,,,,
0.854552423,0.018232888,,,,,,,
0.803479469,0.044953544,,,,,,,
0.822808973,0.04411609,,,,,,,
0.89138481,0.039645998,,,,,,,
0.857824024,0.041377272,,,,,,,
0.977953224,0.578007927,,,,,,,
0.890841943,0.193620177,,,,,,,
0.968430402,0.204155408,,,,,,,
0.918618722,0.204684814,,,,,,,
0.927665286,0.149243738,,,,,,,
0.881702379,0.134161759,,,,,,,
0.945891659,0.12565362,,,,,,,
0.901653858,0.092702237,,,,,,,
0.872136492,0.124317747,,,,,,,
0.956730368,0.216128447,,,,,,,
0.970527941,0.430762037,,,,,,,
0.97974943,0.2803725,,,,,,,
0.888421845,0.175476948,,,,,,,
0.988441701,0.507543689,,,,,,,
0.923027049,0.171228149,,,,,,,
0.903488989,0.123795731,,,,,,,
0.895139809,0.065098608,,,,,,,
0.883342756,0.117824464,,,,,,,
0.887920669,0.106822963,,,,,,,
0.875928485,0.209490024,,,,,,,
0.960432355,0.460478228,,,,,,,
0.931780362,0.082743158,,,,,,,
0.893539354,0.133130323,,,,,,,
0.903655453,0.139697072,,,,,,,
0.89787258,0.070706954,,,,,,,
0.901860911,0.25329061,,,,,,,
0.875906319,0.307100282,,,,,,,
0.964807823,0.596146609,,,,,,,
0.895097662,0.160010346,,,,,,,
0.9591419,0.45903876,,,,,,,
0.977396536,0.600399985,,,,,,,
0.894182912,0.319595699,,,,,,,
0.974859079,0.045629019,,,,,,,
0.986673996,0.500791104,,,,,,,
0.936002818,0.238435539,,,,,,,
0.909437366,0.103712483,,,,,,,
0.880536392,0.087421156,,,,,,,
0.953888662,0.30872794,,,,,,,
0.93143631,0.142858596,,,,,,,
0.931400294,0.140792735,,,,,,,
0.98277201,0.307930506,,,,,,,
0.940087089,0.357971119,,,,,,,
0.952369999,0.135595106,,,,,,,
0.967245303,0.12900058,,,,,,,
0.910271958,0.017654905,,,,,,,
0.898283248,0.278195252,,,,,,,
0.898100143,0.273275569,,,,,,,
0.906454148,0.111326258,,,,,,,
0.957354159,0.453640553,,,,,,,
0.962578086,0.336836909,,,,,,,
0.962028487,0.302929268,,,,,,,
0.94294793,0.215453441,,,,,,,
0.894184146,0.272384948,,,,,,,
0.921802487,0.415863209,,,,,,,
